x_mm,Nu_water,Nu_phi1pct,Nu_phi2pct,Nu_phi3pct
0.0,14.2,14.8,15.7,15.9
0.4,11.691,12.202,12.95,13.15
0.8,10.145,10.602,11.256,11.456
1.2,9.006,9.422,10.007,10.207
1.6,8.13,8.515,9.047,9.247
2.0,7.441,7.802,8.292,8.492
2.4,6.891,7.232,7.689,7.889
2.8,6.447,6.773,7.203,7.403
3.2,6.087,6.4,6.809,7.009
3.6,5.792,6.095,6.485,6.685
4.0,5.55,5.844,6.22,6.42
4.4,5.35,5.637,6.0,6.2
4.8,5.183,5.465,5.818,6.018
5.2,5.045,5.322,5.667,5.867
5.6,4.93,5.202,5.54,5.74
6.0,4.833,5.102,5.435,5.635
6.4,4.752,5.018,5.346,5.546
6.8,4.684,4.948,5.271,5.471
7.2,4.627,4.888,5.208,5.408
7.6,4.578,4.838,5.155,5.355
8.0,4.537,4.796,5.11,5.31
8.4,4.503,4.76,5.072,5.272
8.8,4.473,4.729,5.04,5.24
9.2,4.448,4.704,5.013,5.213
9.6,4.427,4.682,4.989,5.189
10.0,4.409,4.663,4.969,5.169
